# v        v_err    sigma    sigma_err
  36.383    5.358  218.178    5.206
  -8.847    6.327  236.220    6.326
  32.826    4.819  229.193    4.702
 -46.319    6.076  236.322    5.700
 -25.794    5.144  212.548    5.204
 -49.209    5.739  215.302    5.640
 -73.302    5.456  200.311    5.409
 -15.039    5.394  202.660    5.434
  -0.346    5.238  201.893    5.319
 -47.964    5.315  206.707    5.311
 -73.997    5.618  215.419    5.507
 -85.391    5.247  229.061    5.220
 -32.283    5.334  205.011    5.342
 -86.291    4.953  219.614    4.891
 -83.087    5.056  230.554    4.973
 -91.365    5.626  230.210    5.566
 -93.811    4.897  224.819    4.865
 -52.389    5.591  217.968    5.510
 -21.634    5.487  220.728    5.409
 -55.926    5.475  215.768    5.430
 -75.526    5.118  219.922    5.076
 -84.047    4.521  255.971    4.227
 -88.107    4.979  217.573    4.997
 -80.525    5.764  224.492    5.669
 -81.350    5.137  240.480    4.957
 -50.131    5.605  206.597    5.624
 -72.932    5.828  225.236    5.694
 -67.582    4.276  254.805    4.169
 -27.959    3.452  259.100    3.248
 -36.817    3.746  251.346    3.568
  23.158    5.117  213.928    5.039
 -13.422    5.725  207.894    5.787
  52.136    3.536  245.262    3.386
  50.197    4.951  239.261    4.810
  57.112    3.558  231.463    3.520
  53.939    3.704  243.431    3.629
  39.639    5.042  232.738    4.943
 -13.098    3.716  263.221    3.523
 -81.302    4.184  235.812    4.141
  57.079    3.915  236.724    3.844
  52.274    3.630  240.878    3.451
 -48.844    3.699  237.183    3.602
  51.501    4.279  217.173    4.257
  31.287    3.157  246.280    3.072
  65.019    4.129  242.664    4.082
  53.588    3.470  232.622    3.439
  49.704    5.022  232.377    4.981
   7.155    3.406  256.497    3.234
   8.234    5.389  204.724    5.365
  -0.214    6.060  229.794    5.898
  -4.215    5.518  210.458    5.518
  38.514    4.982  220.042    4.913
  26.652    5.342  232.419    5.188
   3.681    6.352  230.162    6.299
  24.395    5.674  217.110    5.606
  52.954    4.317  243.638    4.243
   1.381    5.743  215.098    5.728
  17.088    4.930  203.767    4.909
 -25.267    5.878  214.232    5.912
 -31.752    5.254  204.691    5.302
 -38.744    5.444  219.345    5.418
 -15.024    5.725  209.162    5.811
  42.908    4.810  241.499    4.480
  55.619    5.119  231.571    4.975
   7.595    6.062  227.668    5.796
  46.769    5.279  240.350    5.073
  27.146    5.155  205.813    5.125
  55.450    4.557  231.411    4.468
 -18.684    5.572  207.142    5.601
  26.005    5.574  218.385    5.478
 -40.745    5.395  215.478    5.390
 -11.905    5.503  207.109    5.472
 -41.074    5.753  215.912    5.773
  44.704    4.763  211.693    4.687
  62.974    5.102  237.606    4.955
  -0.275    6.153  217.530    6.063
  26.408    5.012  201.992    5.027
  60.430    4.618  240.175    4.561
  51.667    3.349  226.709    3.339
 -30.765    5.560  213.932    5.477
 -15.940    5.952  215.784    5.987
 -81.605    5.536  217.377    5.574
 -61.794    4.804  225.380    4.803
 -56.378    5.861  215.424    5.665
 -66.303    5.605  210.848    5.525
 -44.681    5.871  220.520    5.713
 -73.502    5.302  212.814    5.344
 -56.442    5.676  217.825    5.525
 -60.892    5.890  220.645    5.800
 -32.472    6.510  232.926    6.384
  -8.318    6.296  215.741    6.273
 -23.671    6.056  217.550    6.025
 -81.958    5.055  216.156    5.184
 -80.360    4.985  215.784    4.952
 -87.302    5.175  224.519    5.093
 -56.545    5.830  216.723    5.760
 -53.808    5.468  211.624    5.379
 -28.943    5.830  229.432    5.612
 -75.392    5.648  227.063    5.451
   9.602    5.577  215.449    5.468
 -21.170    5.609  212.003    5.571
  15.942    5.726  222.775    5.568
  17.141    5.610  228.103    5.406
  16.002    5.310  210.670    5.302
  42.686    4.812  207.553    4.787
  34.878    5.024  207.939    4.955
   3.709    5.927  231.201    5.964
 -43.658    5.402  206.966    5.390
 -50.552    5.820  212.806    5.701
 -36.409    5.712  231.468    5.572
 -56.923    5.579  216.515    5.440
 -11.500    6.301  213.840    6.196
 -11.410    5.623  206.968    5.725
  21.566    5.105  216.714    5.031
   2.448    5.620  210.934    5.644
 -72.025    4.944  205.795    4.985
 -77.489    5.300  228.365    5.120
 -30.395    6.026  222.956    5.876
 -80.617    5.793  228.878    5.722
 -73.426    4.504  235.010    4.434
 -79.420    4.281  228.196    4.199
 -84.508    4.921  240.237    4.751
 -71.063    6.086  231.771    6.029
 -85.614    5.098  247.058    4.942
 -56.265    4.136  230.406    4.076
 -80.557    4.915  214.584    4.852
 -94.321    4.843  214.646    4.823
 -49.168    4.211  252.272    4.052
 -75.218    4.140  219.060    4.158
 -84.171    4.779  234.736    4.686
 -80.619    4.136  226.411    4.118
 -31.585    5.935  221.367    5.956
 -75.628    5.406  217.637    5.351
